#Canon Classes (un-obfuscated)
method_1378,GetInstance
method_1379,MarshalNativeToManaged
method_1380,MarshalManagedToNative
method_1381,CleanUpManagedData
method_1382,CleanUpNativeData
method_1383,GetNativeDataSize
method_2132,Parse
method_2163,Now
method_2164,NowInSeconds
method_2181,LengthSquared
method_2182,ScaledToLength
method_2183,ClampedToLength
method_2184,Normalized
method_2185,DistanceSquared
method_2186,Dot
method_2187,Floored
method_2188,FlooredToInt
method_2189,CeilingToInt
method_2190,Angle
method_2191,RotatedZ
method_2192,Cross
method_2208,GetKeyboardLayoutName
#SDL stuff is below

# Canon Fields
field_2253,Min
field_2254,Max
field_2255,Empty
field_2256,Undefined
field_2301,G
field_2302,B
field_2303,A
field_2304,White
field_2305,Black
field_2306,VeryLightGray
field_2307,LightGray
field_2308,MediumGray
field_2309,DarkGray
field_2310,Transparent
field_2311,Red
field_2312,Green
field_2313,Blue
field_2314,Yellow
field_2315,Purple
field_2316,Teal
field_2379,TextureIndex
field_2380,X
field_2381,Y
field_2382,Width
field_2383,Height
field_2384,OffsetX
field_2385,OffsetY
field_2386,AdvanceX
field_2445,Q
field_2446,AdjacentOffsets
field_2447,HereAndAdjacentOffsets
field_2467,Turns
field_2468,R0
field_2469,R60
field_2470,R120
field_2471,R180
field_2472,R240
field_2473,R300
field_2474,Counterclockwise
field_2475,Clockwise
field_2492,Zero
field_2493,MinValue
field_2494,MaxValue
field_2549,Position
field_2550,Normal
field_2551,TexCoord0
field_2552,TexCoord1
field_2885,Start
field_2886,End
field_2931,R90
field_2932,R270
field_2953,LeaveAllocated
field_2954,_leaveAllocatedInstance
field_2955,_defaultInstance
field_2956,_leaveAllocated
field_2957,nativeLibName
field_3492,freq
field_3493,format
field_3494,channels
field_3495,silence
field_3496,samples
field_3497,size
field_3498,callback
field_3499,userdata
field_3500,r
field_3501,g
field_3502,b
field_3503,colors
field_3504,x
field_3505,y
field_3506,w
field_3507,h
field_3508,flags
field_3509,pitch
field_3510,pixels
field_3511,locked
field_3512,lock_data
field_3513,clip_rect
field_3514,map
field_3515,refcount
field_3516,major
field_3517,minor
field_3518,patch
field_3777,Prefix
field_3778,SerialNumber
field_3822,Ticks
field_3842,Z

# Canon Generics
generic_3,K
generic_4,V
generic_5,T
generic_6,R
generic_17,TSource
generic_18,TKey
generic_19,TValue
generic_22,ScreenType
generic_23,TResult

# New Classes
class_433,OS
class_439,Statistic
class_661,SdlKey
class_720,Movement
class_3,PuzzleFlags
class_167,SimState
class_125,InstructionTypes
class_444,Sounds

# Main
class_6,GameLoop
method_10,Main
parameter_17,args
field_42,mutex
method_927,Setup
method_942,Render

class_175,GenericException

# GameLogic
field_2387,Instance
field_2392,ScreenSize
field_2407,Screens
field_2410,HttpManager
field_2411,ScoreManager
field_2412,Files
field_2413,WorkshopManager
field_2415,SigmarsGardenState
field_2416,SigmarsGarden2State
field_2420,Solutions
field_2422,CurPuzzle
method_923,GetScreen
method_924,GetLastScreen
method_926,IsHd
method_941,Register

# Managers
method_1344,InitScores
method_2213,InitWorkshop

class_359,Files
method_459,LoadFiles

# Utils
# Stack
class_159,Stack
generic_8,T
field_1154,Items
method_281,Count
method_282,Push
parameter_608,Item
method_283,Pop
method_284,Peek

# Maybe
parameter_3154,Present
parameter_3155,ItemIn
method_1071,Of
parameter_3157,Item
method_1072,GetOrElse
parameter_3160,Fallback
method_1073,GetMaybeOrElse
parameter_3161,Fallback
method_1074,Map
parameter_3162,Function
method_1067,IsPresent
method_1075,IfPresent
parameter_3163,Action
method_1068,SetPresent
parameter_3156,IsPresent
field_2547,Present
field_2548,Item
method_1069,Get
method_1070,AsString

# Instruction Types
field_1028,Wait
field_1031,MovePositiveTrack
field_1032,MoveNegativeTrack
field_1033,TurnRight
field_1034,TurnLeft
field_1035,Extend
field_1036,Retract
field_1037,SpinRight
field_1038,SpinLeft
field_1039,Grab
field_1040,Drop
field_1041,Return
field_1042,Repeat
field_1043,Instructions
method_183,RegisterInstructionTypes

field_2498,Hotkey
field_2503,RequiredFlag
field_2496,Name
field_2497,Description

# Canon Colors
method_831,WithAlpha
method_832,FromHex
method_833,Gray
method_834,Packed

# New Colors
field_999,Ivory
field_1000,DarkRed
field_1001,FullRed
field_1002,BlackRed

# Atom
field_2225,Type
method_797,NewOfType
class_415,BondType

# Atom Type
field_2233,Id

# Atom Reference
field_2227,MoleculeIn
field_2228,Position
field_2229,Atom
field_2230,Type
parameter_2713,molecule
parameter_2714,pos
parameter_2715,type
parameter_2716,atom

# Atom Types
class_406,AtomTypes
method_534,RegisterAtomTypes
field_1840,Salt
field_1841,Air
field_1842,Earth
field_1843,Fire
field_1844,Water
field_1845,Mercury
field_1846,Gold
field_1847,Silver
field_1848,Copper
field_1849,Iron
field_1850,Tin
field_1851,Lead
field_1852,Life
field_1853,Death
field_1854,Repeat
field_1855,Quintessence
field_1856,Types

# Molecule
field_2569,NeedsUpdate
field_2570,Name
field_2573,Atoms
field_2574,Bonds
method_1082,GetAtoms
method_1083,GetBonds
method_1086,Copy
method_1087,AddAtom
parameter_3203,atom
parameter_3204,pos
method_1088,Transmute
parameter_3205,toType
parameter_3206,at
method_1089,RemoveAtomAndBonds
parameter_3207,atomLoc
method_1093,AddBond
parameter_3213,type
parameter_3214,firstLoc
parameter_3215,secondLoc
method_1094,AddBond
parameter_3216,type
parameter_3217,firstLoc
parameter_3218,secondLoc
parameter_3219,effect
parameter_3220,bond
method_1095,GetBondBetween
parameter_3222,firstLoc
parameter_3223,secondLoc
method_1096,TryUnbond
parameter_3224,firstLoc
parameter_3225,secondLoc
method_1097,WithRotation
parameter_3226,rotation
method_1098,RotateAround
parameter_3227,around
parameter_3228,by
method_1099,WithOffset
parameter_3229,offset
method_1100,Offset
parameter_3230,offset

method_1103,SingleAtom
parameter_3232,type
method_1104,BondedPair
parameter_3233,first
parameter_3234,second
method_1101,Merge
parameter_3231,with

# Molecule Helpers
class_555,AddingBondEffectHelper1
field_2577,Bond
method_1105,AddBondEffect
parameter_3196,effect

class_556,AddingBondEffectHelper
field_2578,Bond
method_1106,AddBondEffect
parameter_3197,effect

class_557,BondingPairHelper1
field_2579,First
field_2580,Second
method_1107,IsPairBondedBy
parameter_3198,bond

class_558,BondingPositionHelper
field_2581,Pos
method_1108,IsPosBondedBy
parameter_3199,bond

class_559,BondingPairHelper2
field_2582,First
field_2583,Second
method_1109,IsPairBondedBy
parameter_3200,bond

# BondInstance
class_416,BondInstance
field_1890,Type
field_1891,First
field_1892,Second
field_1893,Effects
parameter_2395,type
parameter_2396,first
parameter_2397,second
method_605,Copy

# Part Type
class_129,PartType
field_1048,Id
field_1049,Name
field_1050,Description
field_1051,Cost
field_1053,HasArms
field_1054,Arms
field_1056,Instructable
field_1060,Hexes
field_1062,Extendible
field_1064,FixedAtoms
field_1071,Flags
field_1072,Unique

class_476,BondingScheme
field_2175,FirstLoc
field_2176,SecondLoc
field_2177,Type
field_2178,AllowedAtomType
parameter_2680,firstLoc
parameter_2681,secondLoc
parameter_2682,bondType
parameter_2683,allowedAtomType

# Part Types
class_478,PartTypes
method_777,RegisterPartTypes
field_2179,Reagent
field_2180,Product
field_2181,ProductPolymer
field_2182,Conduit
field_2183,SingleArm
field_2184,DoubleArm
field_2185,TripleArm
field_2186,HexArm
field_2187,PistonArm
field_2188,Gripper
field_2189,Track
field_2190,VanBerloWheel
field_2191,Bonding
field_2192,Unbonding
field_2193,Multibonding
field_2194,TriplexBonding
field_2195,Calcification
field_2196,Duplication
field_2197,Projection
field_2198,Purification
field_2199,Animisimus
field_2200,Disposal
field_2201,Equilibrium
field_2202,Unification
field_2203,Dispersial
field_2204,Types

class_479,IdComparisonHelper
field_2205,Id
method_780,HasId
parameter_2684,part

# PuzzleInputOutput
field_2742,Molecule
field_2743,Position
field_2744,Rotation
parameter_3428,type
parameter_3429,type
parameter_3430,pos
parameter_3431,rotation
parameter_3432,firstType
parameter_3433,secondType
parameter_3434,firstType
parameter_3435,secondType
parameter_3436,pos
parameter_3437,rotation
parameter_3438,molecule
parameter_3439,molecule
parameter_3440,pos
parameter_3441,rotation
parameter_3442,molecule
parameter_3443,pos
parameter_3444,rotation

# Managers
method_674,Init
method_2128,GetSolutions

# Puzzle and Solution
method_1939,ParsePuzzleFromString
method_1941,ParsePuzzleFromBytes
parameter_4514,puzzle
parameter_4515,name
parameter_4516,nameOnDisk
parameter_4517,timestamp
field_3629,Name
field_3630,NameOnDisk
field_3631,TimeStamp
method_1916,SetPuzzle
field_3628,Puzzle
parameter_4523,part
parameter_4524,position

field_2698,Inputs
field_2699,Outputs
field_2701,Flags
method_1231,Read
parameter_3390,Name
method_1230,Write
parameter_3389,Name

method_1266,RegisterPuzzles
method_812,SetupCampaign
method_1034,RegisterJournalSections
method_2165,RegisterTransitions

# HexIndex & Vectors
parameter_2997,XIn
parameter_2998,YIn
parameter_3033,XIn
parameter_3034,YIn
parameter_3035,ZIn
parameter_3036,Other
parameter_2813,Other
parameter_3040,From
parameter_3041,To
parameter_2999,Other
parameter_3042,Other
parameter_3007,By
parameter_3008,Around
parameter_3009,By

# Localization
field_2529,Translations
method_348,Localize
method_349,InEnglish
class_424,Localization
field_1920,CurrentLanguage
method_639,Translate
method_641,DefaultLanguage
method_642,GetCultureInfo

# Textures
field_114,FastForwardCursor
field_115,ClosedHandCursor

# Canon SDL stuff
method_1384,SDL_FOURCC
method_1385,SDL_malloc
method_1386,SDL_free
method_1387,INTERNAL_SDL_RWFromFile
method_1388,SDL_RWFromMem
method_1389,SDL_SetMainReady
method_1390,SDL_Init
method_1391,SDL_InitSubSystem
method_1392,SDL_Quit
method_1393,SDL_QuitSubSystem
method_1394,SDL_WasInit
method_1395,SDL_GetPlatform
method_1396,SDL_ClearHints
method_1397,SDL_GetHint
method_1398,SDL_SetHint
method_1399,SDL_SetHintWithPriority
method_1400,SDL_ClearError
method_1401,SDL_GetError
method_1402,SDL_LogGetPriority
method_1403,SDL_LogSetPriority
method_1404,SDL_LogSetAllPriority
method_1405,SDL_LogResetPriorities
method_1406,SDL_LogGetOutputFunction
method_1407,SDL_LogSetOutputFunction
method_1408,INTERNAL_SDL_ShowMessageBox
method_1409,SDL_ShowMessageBox
method_1410,SDL_ShowSimpleMessageBox
method_1411,SDL_VERSION
method_1412,SDL_VERSIONNUM
method_1413,SDL_VERSION_ATLEAST
method_1414,SDL_GetVersion
method_1415,SDL_GetRevision
method_1416,SDL_GetRevisionNumber
method_1417,SDL_WINDOWPOS_UNDEFINED_DISPLAY
method_1418,SDL_WINDOWPOS_ISUNDEFINED
method_1419,SDL_WINDOWPOS_CENTERED_DISPLAY
method_1420,SDL_WINDOWPOS_ISCENTERED
method_1421,SDL_CreateWindow
method_1422,SDL_CreateWindowAndRenderer
method_1423,SDL_CreateWindowFrom
method_1424,SDL_DestroyWindow
method_1425,SDL_DisableScreenSaver
method_1426,SDL_EnableScreenSaver
method_1427,SDL_GetClosestDisplayMode
method_1428,SDL_GetCurrentDisplayMode
method_1429,SDL_GetCurrentVideoDriver
method_1430,SDL_GetDesktopDisplayMode
method_1431,SDL_GetDisplayName
method_1432,SDL_GetDisplayBounds
method_1433,SDL_GetDisplayDPI
method_1434,SDL_GetDisplayMode
method_1435,SDL_GetNumDisplayModes
method_1436,SDL_GetNumVideoDisplays
method_1437,SDL_GetNumVideoDrivers
method_1438,SDL_GetVideoDriver
method_1439,SDL_GetWindowBrightness
method_1440,SDL_GetWindowData
method_1441,SDL_GetWindowDisplayIndex
method_1442,SDL_GetWindowDisplayMode
method_1443,SDL_GetWindowFlags
method_1444,SDL_GetWindowFromID
method_1445,SDL_GetWindowGammaRamp
method_1446,SDL_GetWindowGrab
method_1447,SDL_GetWindowID
method_1448,SDL_GetWindowPixelFormat
method_1449,SDL_GetWindowMaximumSize
method_1450,SDL_GetWindowMinimumSize
method_1451,SDL_GetWindowPosition
method_1452,SDL_GetWindowSize
method_1453,SDL_GetWindowSurface
method_1454,SDL_GetWindowTitle
method_1455,SDL_GL_BindTexture
method_1456,SDL_GL_CreateContext
method_1457,SDL_GL_DeleteContext
method_1458,SDL_GL_GetProcAddress
method_1459,SDL_GL_ExtensionSupported
method_1460,SDL_GL_ResetAttributes
method_1461,SDL_GL_GetAttribute
method_1462,SDL_GL_GetSwapInterval
method_1463,SDL_GL_MakeCurrent
method_1464,SDL_GL_GetCurrentWindow
method_1465,SDL_GL_GetCurrentContext
method_1466,SDL_GL_GetDrawableSize
method_1467,SDL_GL_SetAttribute
method_1468,SDL_GL_SetSwapInterval
method_1469,SDL_GL_SwapWindow
method_1470,SDL_GL_UnbindTexture
method_1471,SDL_HideWindow
method_1472,SDL_IsScreenSaverEnabled
method_1473,SDL_MaximizeWindow
method_1474,SDL_MinimizeWindow
method_1475,SDL_RaiseWindow
method_1476,SDL_RestoreWindow
method_1477,SDL_SetWindowBrightness
method_1478,SDL_SetWindowData
method_1479,SDL_SetWindowDisplayMode
method_1480,SDL_SetWindowFullscreen
method_1481,SDL_SetWindowGammaRamp
method_1482,SDL_SetWindowGrab
method_1483,SDL_SetWindowIcon
method_1484,SDL_SetWindowMaximumSize
method_1485,SDL_SetWindowMinimumSize
method_1486,SDL_SetWindowPosition
method_1487,SDL_SetWindowSize
method_1488,SDL_SetWindowBordered
method_1489,SDL_SetWindowTitle
method_1490,SDL_ShowWindow
method_1491,SDL_UpdateWindowSurface
method_1492,SDL_UpdateWindowSurfaceRects
method_1493,SDL_VideoInit
method_1494,SDL_VideoQuit
method_1495,SDL_SetWindowHitTest
method_1496,SDL_GetGrabbedWindow
method_1497,SDL_CreateRenderer
method_1498,SDL_CreateSoftwareRenderer
method_1499,SDL_CreateTexture
method_1500,SDL_CreateTextureFromSurface
method_1501,SDL_DestroyRenderer
method_1502,SDL_DestroyTexture
method_1503,SDL_GetNumRenderDrivers
method_1504,SDL_GetRenderDrawBlendMode
method_1505,SDL_GetRenderDrawColor
method_1506,SDL_GetRenderDriverInfo
method_1507,SDL_GetRenderer
method_1508,SDL_GetRendererInfo
method_1509,SDL_GetRendererOutputSize
method_1510,SDL_GetTextureAlphaMod
method_1511,SDL_GetTextureBlendMode
method_1512,SDL_GetTextureColorMod
method_1513,SDL_LockTexture
method_1514,SDL_QueryTexture
method_1515,SDL_RenderClear
method_1516,SDL_RenderCopy
method_1517,SDL_RenderCopyEx
method_1518,SDL_RenderDrawLine
method_1519,SDL_RenderDrawLines
method_1520,SDL_RenderDrawPoint
method_1521,SDL_RenderDrawPoints
method_1522,SDL_RenderDrawRect
method_1523,SDL_RenderDrawRects
method_1524,SDL_RenderFillRect
method_1525,SDL_RenderFillRects
method_1526,SDL_RenderGetClipRect
method_1527,SDL_RenderGetLogicalSize
method_1528,SDL_RenderGetScale
method_1529,SDL_RenderGetViewport
method_1530,SDL_RenderPresent
method_1531,SDL_RenderReadPixels
method_1532,SDL_RenderSetClipRect
method_1533,SDL_RenderSetLogicalSize
method_1534,SDL_RenderSetScale
method_1535,SDL_RenderSetViewport
method_1536,SDL_SetRenderDrawBlendMode
method_1537,SDL_SetRenderDrawColor
method_1538,SDL_SetRenderTarget
method_1539,SDL_SetTextureAlphaMod
method_1540,SDL_SetTextureBlendMode
method_1541,SDL_SetTextureColorMod
method_1542,SDL_UnlockTexture
method_1543,SDL_UpdateTexture
method_1544,SDL_RenderTargetSupported
method_1545,SDL_GetRenderTarget
method_1546,SDL_RenderIsClipEnabled
method_1547,SDL_DEFINE_PIXELFOURCC
method_1548,SDL_DEFINE_PIXELFORMAT
method_1549,SDL_PIXELFLAG
method_1550,SDL_PIXELTYPE
method_1551,SDL_PIXELORDER
method_1552,SDL_PIXELLAYOUT
method_1553,SDL_BITSPERPIXEL
method_1554,SDL_BYTESPERPIXEL
method_1555,SDL_ISPIXELFORMAT_INDEXED
method_1556,SDL_ISPIXELFORMAT_ALPHA
method_1557,SDL_ISPIXELFORMAT_FOURCC
method_1558,SDL_AllocFormat
method_1559,SDL_AllocPalette
method_1560,SDL_CalculateGammaRamp
method_1561,SDL_FreeFormat
method_1562,SDL_FreePalette
method_1563,SDL_GetPixelFormatName
method_1564,SDL_GetRGB
method_1565,SDL_GetRGBA
method_1566,SDL_MapRGB
method_1567,SDL_MapRGBA
method_1568,SDL_MasksToPixelFormatEnum
method_1569,SDL_PixelFormatEnumToMasks
method_1570,SDL_SetPaletteColors
method_1571,SDL_SetPixelFormatPalette
method_1572,SDL_PointInRect
method_1573,SDL_EnclosePoints
method_1574,SDL_HasIntersection
method_1575,SDL_IntersectRect
method_1576,SDL_IntersectRectAndLine
method_1577,SDL_RectEmpty
method_1578,SDL_RectEquals
method_1579,SDL_UnionRect
method_1580,SDL_MUSTLOCK
method_1581,SDL_BlitSurface
method_1582,SDL_BlitScaled
method_1583,SDL_ConvertPixels
method_1584,SDL_ConvertSurface
method_1585,SDL_ConvertSurfaceFormat
method_1586,SDL_CreateRGBSurface
method_1587,SDL_CreateRGBSurfaceFrom
method_1588,SDL_FillRect
method_1589,SDL_FillRects
method_1590,SDL_FreeSurface
method_1591,SDL_GetClipRect
method_1592,SDL_GetColorKey
method_1593,SDL_GetSurfaceAlphaMod
method_1594,SDL_GetSurfaceBlendMode
method_1595,SDL_GetSurfaceColorMod
method_1596,INTERNAL_SDL_LoadBMP_RW
method_1597,SDL_LoadBMP
method_1598,SDL_LockSurface
method_1599,SDL_LowerBlit
method_1600,SDL_LowerBlitScaled
method_1601,INTERNAL_SDL_SaveBMP_RW
method_1602,SDL_SaveBMP
method_1603,SDL_SetClipRect
method_1604,SDL_SetColorKey
method_1605,SDL_SetSurfaceAlphaMod
method_1606,SDL_SetSurfaceBlendMode
method_1607,SDL_SetSurfaceColorMod
method_1608,SDL_SetSurfacePalette
method_1609,SDL_SetSurfaceRLE
method_1610,SDL_SoftStretch
method_1611,SDL_UnlockSurface
method_1612,SDL_UpperBlit
method_1613,SDL_UpperBlitScaled
method_1614,SDL_HasClipboardText
method_1615,SDL_GetClipboardText
method_1616,SDL_SetClipboardText
method_1617,SDL_PumpEvents
method_1618,SDL_PeepEvents
method_1619,SDL_HasEvent
method_1620,SDL_HasEvents
method_1621,SDL_FlushEvent
method_1622,SDL_FlushEvents
method_1623,SDL_PollEvent
method_1624,SDL_WaitEvent
method_1625,SDL_WaitEventTimeout
method_1626,SDL_PushEvent
method_1627,SDL_SetEventFilter
method_1628,SDL_GetEventFilter
method_1629,SDL_AddEventWatch
method_1630,SDL_DelEventWatch
method_1631,SDL_FilterEvents
method_1632,SDL_EventState
method_1633,SDL_GetEventState
method_1634,SDL_RegisterEvents
method_1635,SDL_SCANCODE_TO_KEYCODE
method_1636,SDL_GetKeyboardFocus
method_1637,SDL_GetKeyboardState
method_1638,SDL_GetModState
method_1639,SDL_SetModState
method_1640,SDL_GetKeyFromScancode
method_1641,SDL_GetScancodeFromKey
method_1642,SDL_GetScancodeName
method_1643,SDL_GetScancodeFromName
method_1644,SDL_GetKeyName
method_1645,SDL_GetKeyFromName
method_1646,SDL_StartTextInput
method_1647,SDL_IsTextInputActive
method_1648,SDL_StopTextInput
method_1649,SDL_SetTextInputRect
method_1650,SDL_HasScreenKeyboardSupport
method_1651,SDL_IsScreenKeyboardShown
method_1652,SDL_GetMouseFocus
method_1653,SDL_GetMouseState
method_1654,SDL_GetGlobalMouseState
method_1655,SDL_GetRelativeMouseState
method_1656,SDL_WarpMouseInWindow
method_1657,SDL_WarpMouseGlobal
method_1658,SDL_SetRelativeMouseMode
method_1659,SDL_CaptureMouse
method_1660,SDL_GetRelativeMouseMode
method_1661,SDL_CreateCursor
method_1662,SDL_CreateColorCursor
method_1663,SDL_CreateSystemCursor
method_1664,SDL_SetCursor
method_1665,SDL_GetCursor
method_1666,SDL_FreeCursor
method_1667,SDL_ShowCursor
method_1668,SDL_BUTTON
method_1669,SDL_GetNumTouchDevices
method_1670,SDL_GetTouchDevice
method_1671,SDL_GetNumTouchFingers
method_1672,SDL_GetTouchFinger
method_1673,SDL_JoystickClose
method_1674,SDL_JoystickEventState
method_1675,SDL_JoystickGetAxis
method_1676,SDL_JoystickGetBall
method_1677,SDL_JoystickGetButton
method_1678,SDL_JoystickGetHat
method_1679,SDL_JoystickName
method_1680,SDL_JoystickNameForIndex
method_1681,SDL_JoystickNumAxes
method_1682,SDL_JoystickNumBalls
method_1683,SDL_JoystickNumButtons
method_1684,SDL_JoystickNumHats
method_1685,SDL_JoystickOpen
method_1686,SDL_JoystickOpened
method_1687,SDL_JoystickUpdate
method_1688,SDL_NumJoysticks
method_1689,SDL_JoystickGetDeviceGUID
method_1690,SDL_JoystickGetGUID
method_1691,SDL_JoystickGetGUIDString
method_1692,SDL_JoystickGetGUIDFromString
method_1693,SDL_JoystickGetAttached
method_1694,SDL_JoystickInstanceID
method_1695,SDL_JoystickCurrentPowerLevel
method_1696,SDL_JoystickFromInstanceID
method_1697,SDL_GameControllerAddMapping
method_1698,INTERNAL_SDL_GameControllerAddMappingsFromRW
method_1699,SDL_GameControllerAddMappingsFromFile
method_1700,SDL_GameControllerMappingForGUID
method_1701,SDL_GameControllerMapping
method_1702,SDL_IsGameController
method_1703,SDL_GameControllerNameForIndex
method_1704,SDL_GameControllerOpen
method_1705,SDL_GameControllerName
method_1706,SDL_GameControllerGetAttached
method_1707,SDL_GameControllerGetJoystick
method_1708,SDL_GameControllerEventState
method_1709,SDL_GameControllerUpdate
method_1710,SDL_GameControllerGetAxisFromString
method_1711,SDL_GameControllerGetStringForAxis
method_1712,SDL_GameControllerGetBindForAxis
method_1713,SDL_GameControllerGetAxis
method_1714,SDL_GameControllerGetButtonFromString
method_1715,SDL_GameControllerGetStringForButton
method_1716,SDL_GameControllerGetBindForButton
method_1717,SDL_GameControllerGetButton
method_1718,SDL_GameControllerClose
method_1719,SDL_GameControllerFromInstanceID
method_1720,SDL_HapticClose
method_1721,SDL_HapticDestroyEffect
method_1722,SDL_HapticEffectSupported
method_1723,SDL_HapticGetEffectStatus
method_1724,SDL_HapticIndex
method_1725,SDL_HapticName
method_1726,SDL_HapticNewEffect
method_1727,SDL_HapticNumAxes
method_1728,SDL_HapticNumEffects
method_1729,SDL_HapticNumEffectsPlaying
method_1730,SDL_HapticOpen
method_1731,SDL_HapticOpened
method_1732,SDL_HapticOpenFromJoystick
method_1733,SDL_HapticOpenFromMouse
method_1734,SDL_HapticPause
method_1735,SDL_HapticQuery
method_1736,SDL_HapticRumbleInit
method_1737,SDL_HapticRumblePlay
method_1738,SDL_HapticRumbleStop
method_1739,SDL_HapticRumbleSupported
method_1740,SDL_HapticRunEffect
method_1741,SDL_HapticSetAutocenter
method_1742,SDL_HapticSetGain
method_1743,SDL_HapticStopAll
method_1744,SDL_HapticStopEffect
method_1745,SDL_HapticUnpause
method_1746,SDL_HapticUpdateEffect
method_1747,SDL_JoystickIsHaptic
method_1748,SDL_MouseIsHaptic
method_1749,SDL_NumHaptics
method_1750,SDL_AUDIO_BITSIZE
method_1751,SDL_AUDIO_ISFLOAT
method_1752,SDL_AUDIO_ISBIGENDIAN
method_1753,SDL_AUDIO_ISSIGNED
method_1754,SDL_AUDIO_ISINT
method_1755,SDL_AUDIO_ISLITTLEENDIAN
method_1756,SDL_AUDIO_ISUNSIGNED
method_1757,SDL_AudioDeviceConnected
method_1758,SDL_AudioInit
method_1759,SDL_AudioQuit
method_1760,SDL_CloseAudio
method_1761,SDL_CloseAudioDevice
method_1762,SDL_FreeWAV
method_1763,SDL_GetAudioDeviceName
method_1764,SDL_GetAudioDeviceStatus
method_1765,SDL_GetAudioDriver
method_1766,SDL_GetAudioStatus
method_1767,SDL_GetCurrentAudioDriver
method_1768,SDL_GetNumAudioDevices
method_1769,SDL_GetNumAudioDrivers
method_1770,INTERNAL_SDL_LoadWAV_RW
method_1771,SDL_LoadWAV
method_1772,SDL_LockAudio
method_1773,SDL_LockAudioDevice
method_1774,SDL_MixAudio
method_1775,SDL_MixAudioFormat
method_1776,SDL_OpenAudio
method_1777,SDL_OpenAudioDevice
method_1778,SDL_PauseAudio
method_1779,SDL_PauseAudioDevice
method_1780,SDL_UnlockAudio
method_1781,SDL_UnlockAudioDevice
method_1782,SDL_QueueAudio
method_1783,SDL_GetQueuedAudioSize
method_1784,SDL_ClearQueuedAudio
method_1785,SDL_TICKS_PASSED
method_1786,SDL_Delay
